sale_id,sale_date,customer_id,product_id,quantity,unit_price,discount_pct,net_amount
500327,2024-01-01,10123,2005,2,1163.47,0.0,2326.94
500624,2024-01-01,10412,2026,4,293.54,0.05,1115.45
502187,2024-01-01,10296,2002,5,175.29,0.0,876.45
503078,2024-01-01,10007,2018,4,1912.96,0.0,7651.84
504105,2024-01-01,10066,2009,4,1022.26,0.05,3884.59
504452,2024-01-01,10407,2053,5,5717.05,0.1,25726.72
500479,2024-01-02,10108,2047,4,2201.3,0.0,8805.2
500733,2024-01-02,10360,2040,5,2622.65,0.0,13113.25
501464,2024-01-02,10090,2004,4,3195.85,0.0,12783.4
504060,2024-01-02,10048,2037,5,633.21,0.1,2849.44
504482,2024-01-02,10431,2028,2,463.82,0.0,927.64
501154,2024-01-03,10071,2002,4,175.29,0.1,631.04
501645,2024-01-03,10401,2047,3,2201.3,0.0,6603.9
502376,2024-01-03,10210,2015,4,535.35,0.1,1927.26
503780,2024-01-03,10225,2053,5,5717.05,0.0,28585.25
503824,2024-01-03,10459,2048,1,842.22,0.15,715.89
504184,2024-01-03,10298,2053,1,5717.05,0.0,5717.05
504512,2024-01-03,10281,2034,4,1653.02,0.2,5289.66
504674,2024-01-03,10305,2010,5,383.48,0.1,1725.66
500022,2024-01-04,10225,2003,5,3232.31,0.05,15353.47
501539,2024-01-04,10152,2045,5,3130.69,0.0,15653.45
502521,2024-01-04,10191,2024,2,329.59,0.1,593.26
503306,2024-01-04,10232,2015,1,535.35,0.0,535.35
503413,2024-01-04,10205,2040,4,2622.65,0.0,10490.6
503821,2024-01-04,10196,2025,1,1010.25,0.1,909.22
503928,2024-01-04,10032,2023,2,1843.08,0.15,3133.24
501138,2024-01-05,10239,2012,3,1148.51,0.0,3445.53
502491,2024-01-05,10465,2012,3,1148.51,0.0,3445.53
504238,2024-01-05,10240,2040,1,2622.65,0.15,2229.25
501342,2024-01-06,10116,2011,5,899.65,0.0,4498.25
502200,2024-01-06,10325,2040,4,2622.65,0.1,9441.54
502256,2024-01-06,10216,2036,4,861.27,0.0,3445.08
503354,2024-01-06,10331,2036,1,861.27,0.0,861.27
504174,2024-01-06,10095,2022,5,764.51,0.0,3822.55
504816,2024-01-06,10243,2015,3,535.35,0.05,1525.75
502260,2024-01-07,10450,2035,2,506.04,0.15,860.27
504325,2024-01-07,10188,2037,2,633.21,0.05,1203.1
504361,2024-01-07,10431,2029,5,1516.17,0.2,6064.68
